model_uid,source,model_name,weights,pretrained,architecture,training_objective,dataset_name,is_video_model,has_language_component,is_quantized,dataset_size_log10,training_data_size,architecture_detailed,training_paradigm,model_size_category,model_params,model_params_millions,model_params_log10,is_modern,is_finetuned,is_developmental,sem_dist_effect,sem_dist_effect_layer,diff_symbolic_r,diff_symbolic_r_layer,relational_bias,relational_bias_layer,relational_bias_patternonly,relational_bias_patternonly_layer,sem_dist_effect_p,diff_symbolic_p,relational_bias_binary,relational_bias_patternonly_binary,diff_symbolic_binary,sem_dist_effect_binary,is_classification,is_contrastive,is_generative,is_vlm,is_cnn,is_transformer,is_supervised_other,is_pretext,is_clustering,is_self_supervised,is_ssl_other,is_architecture_other,is_objective_other,concrete_bias_binary,relational_bias_p,concrete_bias_p
torchvision_alexnet_imagenet1k_v1,torchvision,AlexNet,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Classic,Supervised_Standard,Base,61100840.0,61.10084,7.786047180862147,False,False,False,0.6035685207367638,-2.0,0.5337211485644459,-2.0,0.1984126984126984,-2.0,0.5,-2.0,3.0404083464149017e-10,4.293329988212127e-08,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999993933,2.5139329581710315e-12
torchvision_convnext_base_imagenet1k_v1,torchvision,ConvNeXt_Base,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Modern,Supervised_Standard,Base,88591464.0,88.591464,7.947391878588093,True,False,False,0.4307533007943415,-2.0,0.4600863549556066,-2.0,0.3253968253968254,-2.0,0.53125,-2.0,2.255282819223304e-05,3.947224975370647e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999744836741052,5.510565555917579e-05
torchvision_convnext_large_imagenet1k_v1,torchvision,ConvNeXt_Large,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Modern,Supervised_Standard,Large,197767336.0,197.767336,8.29615456346752,True,False,False,0.2968697503810216,-2.0,0.4650991970006156,-2.0,0.3809523809523809,-2.0,0.53125,-2.0,0.0044924565763323,2.996918099137872e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9972319874180511,0.004751582516451104
torchvision_convnext_small_imagenet1k_v1,torchvision,ConvNeXt_Small,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Modern,Supervised_Standard,Small,50223688.0,50.223688,7.700908600436661,True,False,False,0.3866669759555197,-2.0,0.5134229943145019,-2.0,0.373015873015873,-2.0,0.625,-2.0,0.0001668842631707,1.6628173070845537e-07,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9984371944668626,0.0027680125819489073
torchvision_convnext_tiny_imagenet1k_v1,torchvision,ConvNeXt_Tiny,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Modern,Supervised_Standard,Tiny,28589128.0,28.589128,7.456200909098331,True,False,False,0.2468035889837264,-2.0,0.4346519656256997,-2.0,0.2619047619047619,-2.0,0.5,-2.0,0.01902421761493,1.4959852173705769e-05,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999854490337,4.2311851178648676e-08
torchvision_densenet121_imagenet1k_v1,torchvision,DenseNet121,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_DenseNet,Supervised_Standard,Base,7978856.0,7.978856,6.90194062712726,False,False,False,0.436339120981741,-2.0,0.3897985974198964,-2.0,0.5238095238095238,-2.0,0.5625,-2.0,1.714637448352316e-05,0.0001226420643166,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.32808911080171455,0.7334736248662208
torchvision_densenet161_imagenet1k_v1,torchvision,DenseNet161,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_DenseNet,Supervised_Standard,Base,28681000.0,28.681,7.457594289496136,False,False,False,0.4292255886539424,-2.0,0.3218707316776827,-2.0,0.4285714285714285,-2.0,0.5,-2.0,2.4288013973151885e-05,0.0017553869363581,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.9549385670771338,0.06478806964319302
torchvision_densenet169_imagenet1k_v1,torchvision,DenseNet169,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_DenseNet,Supervised_Standard,Base,14149480.0,14.14948,7.150740479628487,False,False,False,0.605347404052984,-2.0,0.2574132950435522,-2.0,0.4047619047619047,-2.0,0.4375,-2.0,2.6119929606475847e-10,0.0132432687456513,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9872283179851086,0.020017879678142027
torchvision_densenet201_imagenet1k_v1,torchvision,DenseNet201,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_DenseNet,Supervised_Standard,Base,20013928.0,20.013928,7.301332333079505,False,False,False,0.4567118202977018,-2.0,0.2239120860535231,-2.0,0.5,-2.0,0.5625,-2.0,6.051605621427426e-06,0.0319010959867275,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.535470156684102,0.535470156684102
torchvision_efficientnet_b0_imagenet1k_v1,torchvision,EfficientNet_B0,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Small,5288548.0,5.288548,6.7233364504573885,False,False,False,0.3230293740541438,-2.0,0.5899729483741311,-2.0,0.3015873015873015,-2.0,0.40625,-2.0,0.0019002769291683,6.073529513678912e-10,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999979503544514,4.924019083467681e-06
torchvision_efficientnet_b1_imagenet1k_v1,torchvision,EfficientNet_B1,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Small,7794184.0,7.794184,6.8917706541178765,False,False,False,0.6166085889807733,-2.0,0.5121736398355919,-2.0,0.1507936507936507,-2.0,0.4375,-2.0,9.767627059144879e-11,1.80219475011656e-07,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1.0,2.2618286387891524e-16
torchvision_efficientnet_b1_imagenet1k_v2,torchvision,EfficientNet_B1,IMAGENET1K_V2,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Small,7794184.0,7.794184,6.8917706541178765,False,False,False,0.1865789507202613,-2.0,0.3773359008895356,-2.0,0.246031746031746,-2.0,0.46875,-2.0,0.0782726159580137,0.0002090295008264,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999984776863,4.8051238277303685e-09
torchvision_efficientnet_b2_imagenet1k_v1,torchvision,EfficientNet_B2,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Base,9109994.0,9.109994,6.959518090939217,False,False,False,0.2461406907452231,-2.0,0.4564616845538309,-2.0,0.2936507936507936,-2.0,0.46875,-2.0,0.0193584272738112,4.804123888998452e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999991776150617,2.049645548600083e-06
torchvision_efficientnet_b3_imagenet1k_v1,torchvision,EfficientNet_B3,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Base,12233232.0,12.233232,7.087541212091846,False,False,False,0.3360043779279206,-2.0,0.471330545265796,-2.0,0.2936507936507936,-2.0,0.59375,-2.0,0.001204811366066,2.115050361847016e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999991776150617,2.049645548600083e-06
torchvision_efficientnet_b4_imagenet1k_v1,torchvision,EfficientNet_B4,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Base,19341616.0,19.341616,7.286492756746118,False,False,False,0.1734683535474745,-2.0,0.4940811360854519,-2.0,0.4523809523809524,-2.0,0.65625,-2.0,0.1020316332093325,5.581064004452788e-07,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8766468764052913,0.1635614836083894
torchvision_efficientnet_b5_imagenet1k_v1,torchvision,EfficientNet_B5,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Large,30389784.0,30.389784,7.482727613276999,False,False,False,0.2131304342740604,-2.0,0.5275360726873732,-2.0,0.5555555555555556,-2.0,0.78125,-2.0,0.0437052876662573,6.54742322486702e-08,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.12335312359470874,0.9093879695592881
torchvision_efficientnet_b6_imagenet1k_v1,torchvision,EfficientNet_B6,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Large,43040704.0,43.040704,7.633879366301799,False,False,False,0.2576033564114058,-2.0,0.4832071248801248,-2.0,0.3492063492063492,-2.0,0.59375,-2.0,0.0142381126428142,1.0677494176833963e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9997680301064968,0.0004526387315393203
torchvision_efficientnet_b7_imagenet1k_v1,torchvision,EfficientNet_B7,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Large,66347960.0,66.34796,7.821827574158054,False,False,False,0.4041885108293795,-2.0,0.5052636298781643,-2.0,0.3015873015873015,-2.0,0.5625,-2.0,7.787984956988985e-05,2.796688116723576e-07,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999979503544514,4.924019083467681e-06
torchvision_efficientnet_v2_l_imagenet1k_v1,torchvision,EfficientNet_V2_L,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Base,118515272.0,118.515272,8.073774317586384,False,False,False,0.5373434718392394,-2.0,0.4715773313357041,-2.0,0.3095238095238095,-2.0,0.5,-2.0,4.7460693453609545e-08,2.085763211589974e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999950759809165,1.1409785008297243e-05
torchvision_efficientnet_v2_m_imagenet1k_v1,torchvision,EfficientNet_V2_M,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Base,54139356.0,54.139356,7.733513085433199,False,False,False,0.2301300572749464,-2.0,0.5323021286624741,-2.0,0.1587301587301587,-2.0,0.375,-2.0,0.0291047461672571,4.7333356020819294e-08,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999999998,1.226070973253022e-15
torchvision_efficientnet_v2_s_imagenet1k_v1,torchvision,EfficientNet_V2_S,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_EfficientNet,Supervised_Standard,Base,21458488.0,21.458488,7.331599117611734,False,False,False,0.3599229465284846,-2.0,0.4630015154063965,-2.0,0.2301587301587301,-2.0,0.53125,-2.0,0.0004933500676777,3.364806757756833e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999998656184,4.6223960815035417e-10
torchvision_googlenet_imagenet1k_v1,torchvision,GoogLeNet,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Inception,Supervised_Standard,Base,6624904.0,6.624904,6.821179589390379,False,False,False,0.5445928666220595,-2.0,0.5131453599858553,-2.0,0.4285714285714285,-2.0,0.625,-2.0,2.8774926626798893e-08,1.692874967063929e-07,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.9549385670771338,0.06478806964319302
torchvision_inception_v3_imagenet1k_v1,torchvision,Inception_V3,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Inception,Supervised_Standard,Base,27161264.0,27.161264,7.43394997678121,False,False,False,0.3530695828971228,-2.0,0.3949348324998595,-2.0,0.3333333333333333,-2.0,0.5625,-2.0,0.0006417682318439,9.783272765495849e-05,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999448943444408,0.00011498882273707576
torchvision_mnasnet0_5_imagenet1k_v1,torchvision,MNASNet0_5,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Other,Supervised_Standard,Base,2218512.0,2.218512,6.346061782171207,False,False,False,0.1684730797489919,-2.0,0.6342401996639024,-2.0,0.1666666666666666,-2.0,0.375,-2.0,0.1124440618528958,1.14191793568538e-11,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999999988,6.273125239617561e-15
torchvision_mnasnet0_75_imagenet1k_v1,torchvision,MNASNet0_75,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Other,Supervised_Standard,Base,3170208.0,3.170208,6.501087757576979,False,False,False,0.4121772459982503,-2.0,0.4872019743867628,-2.0,0.373015873015873,-2.0,0.59375,-2.0,5.423652669421573e-05,8.435034785934087e-07,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9984371944668626,0.0027680125819489073
torchvision_mnasnet1_0_imagenet1k_v1,torchvision,MNASNet1_0,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Other,Supervised_Standard,Base,4383312.0,4.383312,6.6418023844244045,False,False,False,0.6104688111231665,-2.0,0.5748881498509963,-2.0,0.1269841269841269,-2.0,0.53125,-2.0,1.6779535337038388e-10,2.059749853571345e-09,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1.0,9.785483722685833e-19
torchvision_mnasnet1_3_imagenet1k_v1,torchvision,MNASNet1_3,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_Other,Supervised_Standard,Base,6282256.0,6.282256,6.798115629789654,False,False,False,0.321971253908578,-2.0,0.5312995602534724,-2.0,0.2936507936507936,-2.0,0.46875,-2.0,0.0019705209822613,5.0697630206425466e-08,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999991776150617,2.049645548600083e-06
torchvision_maxvit_t_imagenet1k_v1,torchvision,MaxVit_T,IMAGENET1K_V1,True,Transformer,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),Transformer_ViT,Supervised_Standard,Base,30919624.0,30.919624,7.490234204013491,False,False,False,0.1162867398805896,-2.0,0.5010065701722489,-2.0,0.0793650793650793,-2.0,0.46875,-2.0,0.2750618042975972,3.648709279173006e-07,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,2.4740550178787565e-24
torchvision_mobilenet_v2_imagenet1k_v1,torchvision,MobileNet_V2,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_MobileNet,Supervised_Standard,Base,3504872.0,3.504872,6.54467216190075,False,False,False,0.673732811702992,-2.0,0.5304820813969016,-2.0,0.2698412698412698,-2.0,0.5,-2.0,3.417978320595579e-13,5.360820408086291e-08,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999576881489,1.1824603610262455e-07
torchvision_mobilenet_v2_imagenet1k_v2,torchvision,MobileNet_V2,IMAGENET1K_V2,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_MobileNet,Supervised_Standard,Base,3504872.0,3.504872,6.54467216190075,False,False,False,0.4707374827019859,-2.0,0.3317884468621158,-2.0,0.2777777777777778,-2.0,0.5,-2.0,2.8391372413109923e-06,0.0012338801546005,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999998817539639,3.1784446504564686e-07
torchvision_mobilenet_v3_large_imagenet1k_v1,torchvision,MobileNet_V3_Large,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_MobileNet,Supervised_Standard,Large,5483032.0,5.483032,6.7390207805146805,False,False,False,0.6312955296361692,-2.0,0.5258239943273856,-2.0,0.1984126984126984,-2.0,0.53125,-2.0,2.5498345557590968e-11,7.347830095876298e-08,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999993933,2.5139329581710315e-12
torchvision_mobilenet_v3_large_imagenet1k_v2,torchvision,MobileNet_V3_Large,IMAGENET1K_V2,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_MobileNet,Supervised_Standard,Large,5483032.0,5.483032,6.7390207805146805,False,False,False,0.5618069550720206,-2.0,0.5167237579995232,-2.0,0.1269841269841269,-2.0,0.40625,-2.0,8.353201612900894e-09,1.3421863841351852e-07,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1.0,9.785483722685833e-19
torchvision_mobilenet_v3_small_imagenet1k_v1,torchvision,MobileNet_V3_Small,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_MobileNet,Supervised_Standard,Small,2542856.0,2.542856,6.405321767106062,False,False,False,0.4877354211956335,-2.0,0.5925333538494278,-2.0,0.1904761904761904,-2.0,0.46875,-2.0,1.083576543741824e-06,4.905613044102328e-10,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999998607,6.067329411193511e-13
torchvision_regnet_x_16gf_imagenet1k_v1,torchvision,RegNet_X_16GF,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,54278536.0,54.278536,7.734628125360287,False,False,False,0.6300504763244948,-2.0,0.4740606161641547,-2.0,0.3809523809523809,-2.0,0.53125,-2.0,2.865193399090794e-11,1.8116157709379547e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9972319874180511,0.004751582516451104
torchvision_regnet_x_16gf_imagenet1k_v2,torchvision,RegNet_X_16GF,IMAGENET1K_V2,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,54278536.0,54.278536,7.734628125360287,False,False,False,0.5175976825431915,-2.0,0.4355157168703781,-2.0,0.3253968253968254,-2.0,0.59375,-2.0,1.7500497293806498e-07,1.4322810895691636e-05,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999744836741052,5.510565555917579e-05
torchvision_regnet_x_1_6gf_imagenet1k_v1,torchvision,RegNet_X_1_6GF,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,9190136.0,9.190136,6.963321938329801,False,False,False,0.4730667709128944,-2.0,0.5673149023306905,-2.0,0.1666666666666666,-2.0,0.40625,-2.0,2.495630337882248e-06,3.7163236503040325e-09,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999999988,6.273125239617561e-15
torchvision_regnet_x_1_6gf_imagenet1k_v2,torchvision,RegNet_X_1_6GF,IMAGENET1K_V2,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,9190136.0,9.190136,6.963321938329801,False,False,False,0.4111821993620052,-2.0,0.4253357914866676,-2.0,0.2857142857142857,-2.0,0.53125,-2.0,5.676507205391626e-05,2.3742527495343484e-05,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999996821555349,8.223849382071755e-07
torchvision_regnet_x_32gf_imagenet1k_v1,torchvision,RegNet_X_32GF,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,107811560.0,107.81156,8.032665330192508,False,False,False,0.3811328089798401,-2.0,0.5646928003379167,-2.0,0.1587301587301587,-2.0,0.46875,-2.0,0.0002104616848223,4.543130547061121e-09,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999999998,1.226070973253022e-15
torchvision_regnet_x_32gf_imagenet1k_v2,torchvision,RegNet_X_32GF,IMAGENET1K_V2,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,107811560.0,107.81156,8.032665330192508,False,False,False,0.6600288781185776,-2.0,0.434312634779576,-2.0,0.2063492063492063,-2.0,0.5,-2.0,1.4838628485250925e-12,1.5217308776765013e-05,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999974861,9.922671485948713e-12
torchvision_regnet_x_3_2gf_imagenet1k_v1,torchvision,RegNet_X_3_2GF,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,15296552.0,15.296552,7.184593547410348,False,False,False,0.502682695619913,-2.0,0.4477007790720922,-2.0,0.2142857142857142,-2.0,0.4375,-2.0,4.445633368556584e-07,7.653495571048204e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999900774,3.736244381105123e-11
torchvision_regnet_x_3_2gf_imagenet1k_v2,torchvision,RegNet_X_3_2GF,IMAGENET1K_V2,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,15296552.0,15.296552,7.184593547410348,False,False,False,0.3485923757129257,-2.0,0.5168163027757388,-2.0,0.4047619047619047,-2.0,0.5625,-2.0,0.0007596826422285,1.3341057425688568e-07,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9872283179851086,0.020017879678142027
torchvision_regnet_x_400mf_imagenet1k_v1,torchvision,RegNet_X_400MF,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,5495976.0,5.495976,6.740044827564899,False,False,False,0.5150707063847308,-2.0,0.6136335628265732,-2.0,0.1746031746031746,-2.0,0.5,-2.0,2.055951749140496e-07,7.841481192268047e-11,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999999937,3.0361338783630134e-14
torchvision_regnet_x_400mf_imagenet1k_v2,torchvision,RegNet_X_400MF,IMAGENET1K_V2,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,5495976.0,5.495976,6.740044827564899,False,False,False,0.1276152551415644,-2.0,0.4427187852858217,-2.0,0.2619047619047619,-2.0,0.5625,-2.0,0.2306643017093497,9.917527075278046e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999854490337,4.2311851178648676e-08
torchvision_regnet_x_800mf_imagenet1k_v1,torchvision,RegNet_X_800MF,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,7259656.0,7.259656,6.860916042071811,False,False,False,0.5378683236839091,-2.0,0.4653768313292622,-2.0,0.2698412698412698,-2.0,0.53125,-2.0,4.579010604841273e-08,2.951171932240844e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999576881489,1.1824603610262455e-07
torchvision_regnet_x_800mf_imagenet1k_v2,torchvision,RegNet_X_800MF,IMAGENET1K_V2,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,7259656.0,7.259656,6.860916042071811,False,False,False,0.2923872851030232,-2.0,0.4453254631492264,-2.0,0.3571428571428571,-2.0,0.5,-2.0,0.0051668534503703,8.664405679529205e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9995473612684607,0.0008547463919606852
torchvision_regnet_x_8gf_imagenet1k_v1,torchvision,RegNet_X_8GF,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,39572648.0,39.572648,7.597395112012572,False,False,False,0.4657885528221211,-2.0,0.4475773860371381,-2.0,0.2539682539682539,-2.0,0.40625,-2.0,3.722404845468341e-06,7.70315581772453e-06,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999951948761,1.4550966367732763e-08
torchvision_regnet_x_8gf_imagenet1k_v2,torchvision,RegNet_X_8GF,IMAGENET1K_V2,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,39572648.0,39.572648,7.597395112012572,False,False,False,0.5840224399276749,-2.0,0.4408987380202492,-2.0,0.2222222222222222,-2.0,0.46875,-2.0,1.5196080737985523e-09,1.0891299581692356e-05,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999999999626376,1.3438163881766373e-10
torchvision_regnet_y_128gf_imagenet1k_swag_e2e_v1,torchvision,RegNet_Y_128GF,IMAGENET1K_SWAG_E2E_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,644812894.0,644.812894,8.809433713252774,False,True,False,0.3725174767183306,-2.0,0.6002145702753185,-2.0,0.4523809523809524,-2.0,0.6875,-2.0,0.0002995803996955,2.555752021238577e-10,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8766468764052913,0.1635614836083894
torchvision_regnet_y_128gf_imagenet1k_swag_linear_v1,torchvision,RegNet_Y_128GF,IMAGENET1K_SWAG_LINEAR_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,644812894.0,644.812894,8.809433713252774,False,True,False,0.5243580045136157,-2.0,0.5583380590377822,-2.0,0.3015873015873015,-2.0,0.65625,-2.0,1.1299782410665197e-07,7.3395142122884435e-09,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9999979503544514,4.924019083467681e-06
torchvision_regnet_y_16gf_imagenet1k_v1,torchvision,RegNet_Y_16GF,IMAGENET1K_V1,True,CNN,Classification,ImageNet-1k,False,False,False,6.107605743680141,Large (1M-10M),CNN_RegNet,Supervised_Standard,Base,83590140.0,83.59014,7.922155052604866,False,False,False,0.6250365987954849,-2.0,0.6214227481580488,-2.0,0.0952380952380952,-2.0,0.40625,-2.0,4.558444470796135e-11,3.848569485104286e-11,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1.0,2.552256615082281e-22
